"","Date","Pays","Infections","Deces","Guerisons","long","lat"
"356","7/13/2020","Bolivia","49250","1866","15294","-64.6853892","-16.7081454"
"357","7/13/2020","Brunei Darussalam","141","3","138","#N/A","#N/A"
"358","7/13/2020","Benin","1378","26","557","2.3278453","9.6417533"
"359","7/13/2020","Burundi","269","1","207","29.8751201","-3.3593926"
"360","7/13/2020","Bahrain","33476","109","29099","50.5419776","26.0420085"
"361","7/13/2020","Bulgaria","7411","276","3517","25.2155233","42.7688999"
"362","7/13/2020","Burkina Faso","1036","53","869","-1.7545684","12.2695368"
"363","7/13/2020","Belgium","62707","9782","17196","4.6406457","50.6398144"
"364","7/13/2020","Bangladesh","186894","2391","98317","90.2381279","23.8673041"
"365","7/13/2020","Barbados","103","7","90","-59.5598020","13.1814537"
"366","7/13/2020","Bosnia and Herzegovina","6981","226","3179","17.7687659","44.1744991"
"367","7/13/2020","Azerbaijan","24570","313","15640","47.5459965","40.2882767"
"368","7/13/2020","Australia","10251","108","7835","134.4909988","-25.7328874"
"369","7/13/2020","Austria","18948","708","17000","14.1264781","47.5854985"
"370","7/13/2020","Argentina","103265","1903","44173","-65.1798088","-35.3813535"
"371","7/13/2020","Angola","525","26","118","17.5373615","-12.2933611"
"372","7/13/2020","Armenia","32151","573","19865","44.9299343","40.2895221"
"373","7/13/2020","Albania","3571","95","2014","20.0498303","41.1424513"
"374","7/13/2020","Antigua and Barbuda","74","3","57","-61.7946956","17.2775426"
"375","7/13/2020","Afghanistan","34455","1012","21254","66.0047311","33.8352322"
